북한이탈주민 전형
CHA학생부교과전형
학생부종합잠재능력우수자전형
해외전교육과정이수자전형
1유형
재외국민 및 외국인 특별전형
디자인융합
학생부30% 입상실적40% 실기30%
마음나눔
일반전형1
평생학습미래전형
"일반고,특성화고전형"
사회배려자전형
전교육과정 이수 재외국민과 외국인
일반학생
일반전형II
소프트웨어인재
2%
KU일반학생
농·어촌학생 특별전형
외국인군
학교생활우수자특별전형
특성화교과전형
예능창의인재
서류면접전형
학생부교과위주
학교장추천 전형
명지인재면접전형
사회기여 및 배려대상자
수능우수자전형
"기초생활수급자, 차상위계층, 한부모가족전형"
재외국민과 외국인전형
예체능 특기자
일반전형미술
국어국문문예창작학부
지역경제배려대상자전형
특성화고교 실기
정시모집다군
외국의 전교육과정이수자
저소득층학생
지역인재1
다문화
인하미래인재
일반계고전형
실기/실적특기자전형
정원외:재외국민과 외국인
예체능우수자전형
지역인재2전형
축구전형
공연예술특기자
12년과정 이수자
북한이탈학생전형
디자인·도예
사회적배려대상자Ⅱ
교과논술전형
농어촌 학생
200
전 교육과정 이수 외국인
정원외
실기우수자특별전형
가군 특성화고교 졸업자
기초생활수급자및차상위계층전형
농어촌
무용
예체능계열3
3월 특별전형
실기실적
메타휴먼전형
연세한마음학생
한마음 전형
보컬
실기중심전형
기독교전형
재직자특별전형
학교장추천자전형
재외국민전형 전교육과정 이수자
기능특기자전형
신한국인전형
전교육과정국외이수자
SW/ICT인재
지역인재 실기
음악실기우수자
나군 예체능
학생부종합 면접형
1차
AI⋅SW인재전형
다군 농어촌전형
학생부교과전형
지역인재수급자
최저
일반전형체육
수도자전형
기초생활수급권자및차상위계층
글로벌인재전형
9월 특별전형
크리스찬리더특별전형
고른기회 에이블아트·스포츠 전형
특성화고교 졸업자 전형
학생부면접전형
정부위탁
특성화고교졸업자특별전형
영화영상
기회균형Ⅰ전형
수능위주전형
섬김인재
농·어촌학생전형
특성화고
학생부30% 입상실적70%
국가보훈대상자 전형
기초수급및차상위계층 특별전형
축구특기자전형
가군 기회균형선발
"피아노과, 관현악과, 성악과, 작곡과전형"
성직 지망자 전형
서류
서류형전형
지역균형 전형
예술인재전형
고교학생부전형
특성화고졸업자전형
기초생활수급자·차상위계층·한부모가족지원대상자전형
음악
지역전형
실기
성김대건전형
정부위탁생
윈윈대진전형
기초생활 및 차상위
북한이탈자전형
학생부종합Ⅰ
교역자추천자
일반 교회음악학과
사이버국방학과
기독교지도자전형
학생부 교과우수자
3월 2차
특성화고교 졸업자 특별전형
목회자추천자
연출제작
사회기여 및 배려자전형
교과성적우수자
정시 가군실기우수자
추천형
기초생활수급자 등
기초생활수급자ㆍ차상위계층전형
국방시스템공학 특별전형
한서인재전형
기독인재양성 특별전형
영산선학대학교 인재 전형
창신인재추천
PostModern음악
학생부종합전형
군위탁생
가군 일반
스키/스노보드전형
학생부교과약학고른기회전형
검도
3월 입학
학생부교과의학창의인재전형
네오르네상스전형
비제한 전교육과정 이수자
추천자전형
지역학생기회균형전형
특기자 특별전형
가톨릭지도자추천전형
농어촌전형
교역자/수도자전형
초·중·고 전 교육과정 해외이수자
기회균형선발
논술전형
다군
고졸재직자전형
12호
연극
전 교육과정이수자
서해5도민
정원제한
재외국민전형 새터민
간호학과
정시 가군특성화고교인재
예체능특기자 전형
장애인등 대상자 특별전형
특기자
실기우수자
운동부특기자
논술우수자전형
학교생활종합전형
수시모집 학생부교과
기초생활수급자 및 차상위계층
어학인재전형
예체능계열2
중고교과정 해외이수자
기회균형전형Ⅱ
한국음악과
장애인 등 대상자
재외국민
의류디자인
국가보훈·농어촌·수급자·자립아동 등
교과우수
글로벌스포츠인재전형
한림케어전형1
특성화고인재특별전형
교과우수자
농어촌특별전형
정원외 학생부우수자
서해5도학생특별전형
경기입상실적우수자전형
기초생활수급권자 및 차상위계층자
농어촌학생
지역인재Ⅲ전형
체육인재
KU체육특기자
기초생활 및 차상위전형
산업체 재직자 특별전형
지역인재Ⅳ전형
정부위탁학생전형
일반전형
기회균등전형
사회기여
나군 기회균형선발
학교장추천인재
미래인재전형
교육기회대상자
가군 지역인재기회균형대상자전형
기회균형선발전형1
SW우수자전형
선취업후진학자전형
2%이내
체육일반
12년과정
학생부우수자전형
나군 기회균등전형
특기자전형체육
참사람전형
배려자 특별전형
야간전형
특성화고등 졸업재직자
교회추천자전형
특성화고교 출신자
해외에서 전 교육과정 이수자
실기/실적실기전형
청운인재전형
나비인재전형Ⅱ
특성화고교출신자
수능중심
연극영화 비실기전형
고른기회1전형
PTU고른기회Ⅰ
디자인학부
성인학습자전형
ACE전형
입학정원 2%이내
기회균형선발전형
학교장추천전형
KGU학생부종합전형
특성화고 등을 졸업한 재직자
디자인테크놀로지
체육
지역학생전형
유원면접전형
연극영화
소프트웨어특기자전형
국가보훈대상자 특별전형
지역사회배려대상자전형
실기우수자 전형
국가보훈·농어촌·만학도
학생부 교과
북한이탈주민특별전형
교직적성인재
고른기회전형Ⅰ
학생부종합
사회적배려자
음악특기자
나군 일반학생전형
아리학생부종합Ⅰ
기초생활수급자 등 전형
동일계
가천바람개비
잠재능력우수자면접전형
학교장추천
교과면접전형
미래인재전형Ⅱ
강원인재전형
전라남도교육감추천전형
2%이내전형
미술특기자
특성화고교출신자전형
특성화고교전형
기초생활수급자등선발전형
디자인학과
"기초생활수급자, 차상위계층전형, 한부모가족 지원대상자전형"
예체능인재
사회기여 및 배려자 전형
일반학생전형Ⅱ
2차
취업자
전 교육과정 해외 이수자전형
기회균형전형I
비제한
가천의약학
2% 특별전형
기회균형특별전형
비실기
"기초생활수급자, 차상위계층, 한부모가족 지원대상자 특별전형"
계열모집
정시가군전형
교과중심
비제한 북한이탈주민
기초생활수급자 및 차상위계층 특별전형
불교추천인재전형
고른기회일반전형
창의인재전형
"특수교육대상자,백혈병,다문화가정,도서벽지근무자"
학생부교과
기타
종합일반전형
기타: 재외국민과 외국인
일반계고면접전형
CS인재
기회균형선발 특별전형
항공관광학과
외국인 특례 신입학 전형
특성화고SW특기자전형
PTU수능
일반학생2
특성화고전형
지역인재교과우수자전형
배움나눔인재 전형
일반전형음악
사회기여 및 배려자
성경지식우수자
특성과고교졸업자전형
사회공헌·통합전형
미래인재전형Ⅰ
저소득층전형
크리스천리더전형
바롬인재면접전형
연출
수시모집 기회균형특별전형
일반전형I
기초생활수급자등대상자전형
자기추천특별전형
만학도전형
도서·벽지학생전형
고른기회2전형
북한이탈주민
대학자체기준
지역학생
지역의료인재
특성화고교출신
ANU인재전형
"축구,야구,배구"
재외국민과 외국인
기회균등
나군
"기초생활수급자, 차상위계층, 한부모가족지원대상자전형"
상명인재전형
바둑
가목
참인재
교과
세움인재
기초생활수급자/차상위계층/한부모가족
기회균형 II
코람데오인재
재능우수자
지역혁신인재
수능위주기회균형전형Ⅱ
수능위주항공운송학특별전형
전교육과정 이수 재외국민
수능위주일반학생전형
북한이탈자주민전형
기초·차상위·한부모전형
기초생활수급자/차상위계층/한부모가족전형
"기초생활수급자, 차상위계층, 한부모가족지원대상자"
융합인재전형
12년 전교육과정 이수자
덕성인재전형Ⅰ
학생부교과취업자전형
수능성적우수자 일반전형
재림교회목회자추천
협성창의인재전형
반도체공학인재전형II
국제형
학교생활우수인재
Cogito자기추천
교역자자녀
스포츠선교특별전형
나군 농어촌학생전형
정시기회균형
계열적합인재전형
세종창의인재 전형
"사격,수영 제외"
PTU실기
채용조건형
미술
신입일반
지역균형선발전형
12년 과정 이수자
정원내전형
특성화고출신자
다군 일반
교육기회배려자
전교육과정이수자전형
"간호,한의"
일반계열
글로벌인재
"시각·영상디자인과, 산업디자인과, 환경디자인과,공예과전형"
강원인재
실기위주
개인
출가자전형
나군 농어촌학생
지역인재기회균형 특별전형
가군 일반전형
특성화고등을졸업한재직자전형
정시 지역인재1
활동우수형
다군 지역인재저소득
국토안보교과전형
학생부교과군사학특별전형
면접형전형
지역인재종합전형
특기자전형 무용
9월
기회균형 특성화고졸재직자전형
학생부교과전형2
수능최저미적용
학생부종합전형I
대학수료 교구장추천자
면접전형
기초
정시 다군
서해5도
사회기여자
정원외:12년 과정 이수자
대안학교출신자전형
미래인재 전형
나군 평생학습자전형
미술우수자전형
덕성인재전형Ⅱ
지역인재 기회균형
대학수료자전형
가군 특성화고 등을 졸업한 재직자
장애인등
미술
한의대B
일반전형 나군
PTU고른기회Ⅱ
특성화고교
불교추천인재
글로컬지역인재
수능최저적용
농어촌인재
기회균형통합
공무원전형
GLC
21세기형 교직 적성자
정원외2%전형
항공/군사전형
전문연주자 전형
농어촌학생전형
다군 일반학생전형
재외국민및외국인전형
가군 특수교육대상자
특성화고졸재직자
학생부종합 특별전형
경기실적전형
기초생활수급자 및 차상위계층전형
고른기회지역전형
재외국민과 외국인특별전형
체육특기자 보디빌딩
3월 1차
농어촌고교출신자전형
장애인등대상자전형
농어촌지역학생특별전형
사회통합지원
학생부교과항공운송학특별전형
인물소묘
교직적성우수자전형
스포츠과학부
만학도 및 성인재직자
아리학생부종합Ⅱ
외국인특별전형
서강가치
일반고전형
기초 및 차상위전형
특성화고졸업자
일반학생 전형
체육특기자 육상
서해 5도 특별전형
일반면접전형
사이버국방전형
원장추천자전형
소재부품융합공학과
수능일반전형2
농·어촌학생
장애인 등 대상자 특별전형
특기형
고른기회 전형
공무원위탁생
교차
농어촌출신자전형
고른기회 특별전형
일반교과전형
실기/실적
특성화고졸업
학생부교과농어촌학생전형
특성화동일계출신자전형
학생부교과전형1
특수교육대상
지역인재
추천자
육성
자기추천제
만학도 전형
전교육과정해외이수자
전교육과정이수외국인
정원 2%이내 재외국민 및 외국인
기초수급권자/차상위계층/한부모가족 지원대
9월 입학
조소전공
학교생활우수자
대학독자
특성화고 등 고졸재직자전형
가천AI·SW
검정고시출신자전형
저소득 학생
지역인재Ⅰ
특성화고교졸재직자전형
항공시스템공학 특별전형
인문계고전형
서해5도학생전형
서류100전형
리더십전형
지역인재교과우수자
기초생활및차상위
학생부전형
사회적배려대상자전형
조기취업계약학과
연기예술
특성화고교졸 재직자 특별전형
재교육형
PTU종합
지역인재교과전형
광주인재전형
장애인전형
학생부교과
체육특기
"기초생활수급자,차상위계층,한부모가족지원대상자전형"
SW융합전형
사회배려
고른기회대상자
일반전형 가군
학생부종합전형II
기초생활수급자및차상위계층
외국인전형
사회기여자 및 배려자전형
"기초생활수급자및차상위계층,한부모가족전형"
장애인학생전형
교과II전형
아리학생부면접
창업인재
장애인등 대상자전형
평생학습자전형Ⅰ
열린인재
교과일반전형
평생학습자전형Ⅱ
일반학생전형Ⅰ
선교사자녀및사회배려자
사회배려자특별전형
3월
다문화가정자녀
전교육과정 이수 외국인
지역인재 기초생활수급자등대상자전형
담임목사추천자
특기자전형음악
신학특별
이웃사랑
서류형
만학도특별전형
사회적배려대상자특별전형
정시 나군
특성화고동일계전형
스포츠융합과학과
지역인재II전형
체육실기
특기형전형
뷰티
수능우수자
가군 특성화고전형
나군 농어촌전형
가군 국방정보공학
학생부종합취업자전형
전남인재전형
종합전형
서류위주
사회기여자 및 배려대상자
볼링전형
국제인재
특성화고 등을 졸업한 재직자 특별전형
반도체공학인재전형I
국가보훈대상자전형
논술우수자 전형
재외국민 및 외국인
수도회장상추천전형
국가안보융합인재전형
정원외전형
기회균형선발전형2
국가보훈대상자특별전형
기회균형 전형
"사격,수영"
2% 전형
"배드민턴,레슬링,태권도"
정시 다군평생학습자
체능
해람인재
교과우수자전형
체육실적전형
체육특기자 태권도
전기 외국인특별전형 전교육과정 이수 외국인
교사추천자
일반고교과전형
EU미래인재
계약학과 채용조건형
이웃사랑전형
예체능계/실기
사회배려자
나군
장애인 특별전형
농어산촌인재특별전형
학생부교과우수자전형
"기초생활수급자 및 차상위계층전형,정원외"
미술·조형특기자전형
새터민
농생명계열 고교 졸업예정자
군위탁생전형
자기주도인재
학·석사통합전형
"의예,약학,간호전형"
학교추천
KU지역균형
디자인조형학부
북한이탈주민전형
장애인 등 대상자 전형
저소득층
가군 예체능
어학특기자전형
초·중·고교전교육과정해외이수자
국민프런티어전형
나군 특성화고전형
수능실기전형
새터민 특별전형
CHA학생부종합전형
수능일반전형1
창업인재전형
수능 최저학력기준 미적용
문예창작
특성화동일계전형
문학
바롬인재서류전형
수능
수도자
"기초생활수급자,차상위계층,한부모가족지원대상자"
장애인등 대상자
지역인재1전형
나군 특성화고교출신자
특성화등 고졸 재직자
특성화고교과전형
산업체경력전형
재외국민외국인
동덕창의리더전형
재외국민과 외국인 특별전형
교과우수전형
특수교육대상자특별전형
해람교과
CAU융합형인재전형
나군 특성화고교 졸업자
특성화고특별전형
특성화고교졸업자 전형
면접우수자전형
실용음악전공
단체종목
영화예술
특성화고등재직자전형
일반고특별전형
교직인성우수자전형
평생학습자
의약
"기초생활수급자 및 차상위계층, 한부모가족지원대상자전형"
전교육과정이수자
저소득
일반전형Ⅱ
학생부 종합
광운참빛인재전형Ⅱ
유도전형
300
전교육과정해외이수자전형
조형예술
PTU교과
기회균형Ⅱ
중·고교과정해외이수자
연극학부
실적우수자
금강인재추천전형
검정고시출신자
예정자전형
지역인재 기초생활수급자 및 차상위계층 특별전형
저소득층학생전형
새터민전형
농어촌학생 실기
"기초생활수급자및차상위계층,한부모가족 지원대상자"
기초및차상위계층전형
서해5도전형
가군 특성화고교출신자
수능위주
특기자전형
공무원위탁전형
조기취업형 계약학과
평생학습사회전형
CAU어울림전형
수시
EU자기추천
체육교육과
SSU미래인재전형
서해5도학생 특별전형
기회균등할당제
소프트웨어열린인재전형
면접
특성화고교 졸업자전형
만학도출가자전형
영농창업인재전형
글로벌인재 전형
SW창의인재전형
서해 5도 학생
특수교육대상자등전형
특성화고교등을졸업한재직자
지역인재 저소득층전형
지역인재 학교장추천전형
참스승 전형
기회균형
지역인재전형
고른 기회
재외국민특별
일반학생전형 체육
학생부교과일반학생전형
기초생활보장대상자
정시 가군미래인재
음악
기타: 정부위탁학생 전형
군사학전형
영화영상
경기실적우수자전형
특수교육대상자전형
정시모집 일반전형
대안학교전형
후기
예체능계열1
특성화고교출신자 특별전형
취업자전형
다군
사회적배려대상자 특별전형
전교육과정
특성화고등졸재직자전형
무용특기자
모바일과학인재전형
특성화고출신자전형
군위탁전형
다자녀 가정 및 다문화 가족
인성우수자
기회균형전형
창의인재
성인학습자
목회자추천전형
S/W인재
"지역인재Ⅰ전형, 예능계"
실기일반
재외국민및외국인
순수외국인
체육실기우수자전형
담임추천전형
사회배려대상자
체능계열
체육전형
피아노
사회봉사자
학업우수전형
한성인재전형
재외국민과 외국인 2% 이내
사회통합전형
정원외:북한이탈주민
사회기여자전형
SKU창의적인재전형
실기일반전형
특성화고등을졸업한재직자
"수시 일반전형Ⅱ, 예체능계/실기"
정시모집 기회균형특별전형
학생부
만학자특별전형
협약을 통한 연계교육
외국어특기자전형
전 교육과정 이수자 전형
특성화고교졸업자전형
전 교육과정 해외이수 재외국민 및 외국인
인문계출신자
조형대학 비실기전형
정원의2%
미술학부
서류전형
학생부교과지역인재전형
가군 지역인재전형
ICCU미래인재
특성화고졸업재직자전형
지역인재Ⅱ전형
정시 나군농어촌인재
정시 나군미래인재
종합인재전형
수능 최저학력기준 적용
4호
논술우수
실기특별전형
평생학습자전형
경기실적·단
연기특기자
다군 농어촌학생전형
지역인재전형 1유형
기초생활 및 차상회
사회배려전형
기회균형선발제전형
실기형전형
수능위주지역인재전형
수능위주약학고른기회전형
장애인대상자
장애학생
기회균형선발제
"담임교역자,교목,교사"
의예과
기초생활등전형
종합
특수교육대상자 전형
북한이탈주민 특별전형
한국화·회화·조소
기회균형전형II
잠재능력우수자전형
기회균형Ⅰ
교직적성전형
기초생활연세한마음 전형
대건안드레아
한림케어전형2
KIT인재전형
전과정해외이수자
장애인대상자전형
가군 평생학습자전형
2% 이내
기초생활수급자
H+인재전형
"인문계, 자연계전형"
농어촌학생 특별전형
KU자기추천
재직자전형
유원교과전형
나군 특수교육대상자
SW융합인재전형
특성화고 출신자
예능우수자전형
지역기회균형
소프트웨어인재전형
지역기회균형전형
교과성적
온라인성인학습자전형
정부위탁교육전형
정원무관
일반계교과전형
계열적합전형
농어촌학생 정원외
다문화가족자녀전형
기초및차상위계층자전형
수급자/차상위계층/한부모가정
정시나군
다군 특성화고교출신자
정시모집 학생부교과
정시실기형전형
재외국민과외국인특별전형
정원2%이내 재외국민 및 외국인
미술전형
실기우수자전형
기회균형대상자전형
전교육과정 해외 이수자
KU논술우수자
기초생활수급자·차상위계층·한부모가족지원대상자
드림
디자인예술학부 실기전형
학생부졸합
교과성적우수자 특별전형
예체능전형
재외국민 전형
청람지역인재 특별전형
기초생활수급자및차상위계층 특별전형
다군 평생학습자전형
학생부교과기회균형전형Ⅱ
CKU종합전형
일반학생 실기전형
기회균등제전형
첨단융합인재전형
과학인재
면접위주교과전형
한남인재전형
체육특기자
학생부종합Ⅰ전형
기회균형Ⅱ전형
지역인재전형 2유형
기회균형 지역인재전형
저소득층지역인재전형
예체능실기전형
수능100%전형
지역인재저소득
경기실적 및 선수경력자 특별전형
정시일반전형
추천제전형
지역균형
혜화인재전형
체육우수자 특별전형
재외국민과외국인
학생부종합학생부종합Ⅰ
외국인 특별전형
가톨릭지도자추천
체육우수인재
축구
저소득층인재특별전형
글로벌엘리트학부 전형
특수교육인재특별전형
교사추천전형
고른기회대상자
전교육과정이수 재외국민 및 외국인
다군 지역인재
자기추천전형
성인학습자등전형
논술위주
전 교육과정 이수자전형
정시
해외전교육과정이수자
정시모집 지역균형전형
일반계고교
국방IT우수인재1전형
전 교육과정 해외이수자 특별전형
운동선수출신전형
입학사정관제 전형
기회균형Ⅲ
교과I전형
SW특별전형
창의면접전형
정시가군
논술우수자
산업체위탁교육
사회적배려자전형
특성화고교졸업자
특성화고졸재직자 정원 내
고른기회전형
실적
지역균형전형
중·고교 과정 해외 이수자 전형
지역종합인재전형
교과면접우수자
다목
학생부종합Ⅲ
동일계전형
수시 일반전형Ⅰ
무용예술학과
정시 나군특성화고교인재
면접위주
지역인재Ⅱ
전북
예능우수자
기회균형 농어촌전형
제한
성신특별전형
교과성적우수자전형
고교생활우수자전형 유형Ⅱ
학생부종합학생부종합Ⅲ
순수외국인 특별전형 및 재외국민과 외국인 특별전형
실기우수인재
기독학생
일반고
강원교육인재
국제계열
전교육과정이수 외국인
기초생활수급권자 및 차상위계층전형
전기 글로벌인재특별전형Ⅱ
3차
광주·전남
휴먼리더면접전형
정원내
전문대학 이상 졸업자
기회균형 저소득층전형
실기위주전형
재외국민과외국인전형
어학특기자
가군
수도회총
호서인재전형
스포츠과학
일반 실기
교과+면접전형
교과전형
12년과정이수자
포트폴리오전형
교육기회균등전형
나눔품성인재
디아코니아 인재
"기초생활수급자, 차상위계층, 한부모가족 지원대상자전형"
기초생활수급자/차상위계층/한부모가족 특별전형
학석사
지역저소득층전형
사회통합
계약학과 재교육형
외국인전교육과정이수자
계약학과
국내고
장애인 등 대상자전형
일반전형3
sw우수인재전형
서해5도 특별전형
사회적배려대상자Ⅰ
학생부교과우수자
다군 일반전형
재외국민 및 외국인특별전형
나군 일반
체육교육
12년 전 교육과정 해외이수자전형
숙명디지털융합인재전형
KU연기우수자
특기자전형 체육
아치해양인재전형Ⅱ
사회적배려대상자
수능위주농어촌학생전형
KU재외국민과외국인전형
학생부A전형
수상실적특기자전형
명지인재서류전형
수시모집 지역균형전형
가군 연극영화학과
특성화고출신실무인재특별전형
"기초생활수급자, 차상위계층, 한부모가족 지원대상자특별전형"
3월입학
사회공헌자전형
학생부B전형
재외국민전형
재외국민특별전형
학생부 면접우수자
논술
전교육과정이수재외국민
농어촌학생특별전형
국가보훈대상자
운곡인재
한림SW인재전형
미용특기자전형
탈북학생
종단추천자전형
재외국민 외국인 특별전형
전교육과정 해외이수자
지역인재 특별전형
장애인특별전형
나비인재전형Ⅰ
학생부교과특성화고졸재직자전형
지역균형선발
학과모집
예체능우수인재전형
항공인재전형
한마인재면접전형
큰사람 전형
특성화고등을 졸업한 재직자
경제배려대상자전형
기초생활수급자및차상위전형
초등교직적성자전형
소프트웨어우수인재전형
학생부종합 서류형
경기실적 우수자 특별전형
농어촌학생 전형
학생부종합특성화고졸재직자전형
재외국민외국인전형
기초생활수급권자
성직지망 교구장추천자 전형
지역교과우수자전형
전과정이수자
잠재력우수자
미술실기전형
SW우수인재전형
"기초생활수급자, 차상위계층, 한부모가족지원대상자 전형"
교직적·인성인재
가군 농어촌전형
9월입학
창의인재 전형
디자인특기자전형
기초생활수급자및차상위계층자
면접형
미래인재
특수교육대상자
약학부전형
수시모집 일반전형
특성화고 등을 졸업한 재직자전형
학생부위주
공연예술우수자전형 뮤지컬전공
교과중심전형
목사추천전형
성경경시대회 특기자
학생부교과위주장애인등대상자전형
교과성적전형
지역균형발전
정시 다군농어촌인재
"방송연예,실용음악,모델"
실기형
단체
누구나
예술학부
Do Dream
교직적성우수자
학생부종합Ⅱ
평생학습자전형Ⅲ
AAT전형
일반전형4
정시모집 일반학생 전형
우송인재전형
기초생활및차상위특별전형
만학도
특수교육전형
기회균형 I
재외국민 외국인
품증소지자전형
초·중·고교 전 교육과정 해외 이수자 전형
외국에서 전 교육과정을 이수한 외국인
부모 모두 외국인인 외국인
다문화가정전형
기초생활수급자 및 차상위계층자
정시 일반전형
해외고/검정고시
정시 가군농어촌인재
공연예술우수자전형 실용음악전공
신학
스포츠
예체능서류전형
학생부교과I
수능성적우수자전형
실기전형
기초생활수급자등전형
특성화고교졸업자 특별전형
정원외2%
골프
전교육과정이수 재외국민
논술
예체능 실기우수자
지역균형인재전형
체육특기자전형
일반전형Ⅰ
국가안보융합전형
지역인재기회균형대상자전형
예능계열
사회기여및배려자전형
기초생활전형
수능위주군사학특별전형
영어우수자
한국무용·현대무용·발레
고교생활우수자전형 유형Ⅰ
학업성적우수자전형
북한이탈주민 6호
탈북학생전형
음악전형
전교육과정이수재외국민전형
사회기여자및배려대상자
SW잠재능력전형
사회적배려대상자Ⅲ
생활
사회통합 전형
기초생활수급자및차상위계층자전형
교육기회
아리학생부교과
장애인등대상자 특별전형
"순수외국인 6호, 전"
후기 글로벌인재특별전형Ⅱ
후계농업경영인전형
전교육과정해외이수전형
"농어촌학생전형,정원외"
전공관련우자특별전형
선원자녀 및 선원경력자
자유소묘
기회균형선발제 전형
축구 외전형
장애인등대상자
학교생활우수자전형
실기/실적위주
특성화고교인재
2유형
군사학과
연출및스탭
고른기회
지역인재I전형
전교육과정해외이수자/3월
뷰티케어특기자전형
국제학특기자전형
"무용과, 회화과전형"
서해5도지역출신자
소프트웨어
기독교인전형
수능
학생부교과II
기회균형 특별전형
특성화고졸재직자전형
항공서비스
정시 다군특성화고교등을졸업한재직자
일반학생1
PUTS인재
만학도 특별전형
기초생활/차상위/한부모가족전형
교과중점전형
실기교과전형
일반계고교과전형
사회다양성전형
